MutationType	CN1	CN2	CN3	CN4	CN5	CN6	CN7	CN8	CN9	CN10	CN11	CN12	CN13	CN14	CN15	CN16	CN17	CN18	CN19	CN20	CN21	CN22	CN23	CN24	CN25
5-8:LOH:1Mb-10Mb	0.00020778	0.00449531	0.00554920	0.00000019	0.00027819	0.00021435	0.00006780	0.00215584	0.00066162	0.02022345	0.07357179	0.00322838	0.00610440	0.00000023	0.02016289	0.01073875	0.01836005	0.04681185	0.00001580	0.00524955	0.00001670	0.00143403	0.00001530	0.00081046	0.00020654
5-8:LOH:10Mb-40Mb	0.00009970	0.00275604	0.00000071	0.00001310	0.00012570	0.00011771	0.00000000	0.00102283	0.00037649	0.00679665	0.01532663	0.00163617	0.00077852	0.00000896	0.01347168	0.00622641	0.00502947	0.02208834	0.00068876	0.00029923	0.00000036	0.00060541	0.00000014	0.00011455	0.00001430
5-8:LOH:>40Mb	0.00033194	0.01008962	0.00535955	0.00000014	0.00009880	0.00030406	0.00004930	0.00145962	0.00038263	0.00017289	0.00347323	0.00110016	0.00162804	0.00572642	0.06422257	0.01067078	0.00000129	0.00536994	0.00012041	0.00012116	0.00003900	0.00240895	0.00001830	0.00008700	0.00000011
9+:LOH:0-100kb	0.00013400	0.00052020	0.00000071	0.00001060	0.00131259	0.00493142	0.00632901	0.02204332	0.00075942	0.00018531	0.00062013	0.00048688	0.00004450	0.00000146	0.00300605	0.00384194	0.00012468	0.00241473	0.00107168	0.00014531	0.00000036	0.00249852	0.00000014	0.00049292	0.00087395
9+:LOH:100kb-1Mb	0.00041199	0.00066864	0.00216196	0.00000028	0.00330625	0.00545954	0.02139771	0.02838151	0.00123437	0.00299660	0.01160088	0.00011188	0.00344403	0.00000085	0.00785032	0.00471630	0.00005300	0.01211638	0.00117826	0.00085741	0.00000397	0.00067448	0.00003280	0.00037680	0.00133702
9+:LOH:1Mb-10Mb	0.00020077	0.00082900	0.00220660	0.00000028	0.00064923	0.00086716	0.01464548	0.00809473	0.00057456	0.00365022	0.02224864	0.00012019	0.00163639	0.00001100	0.00480835	0.00000235	0.00001370	0.01534961	0.00000016	0.00046208	0.00008480	0.00107810	0.00000014	0.00012195	0.00005590
9+:LOH:10Mb-40Mb	0.00000651	0.00035090	0.00211290	0.00000028	0.00001510	0.00001270	0.00000061	0.00002530	0.00001020	0.00044558	0.00252885	0.00006140	0.00000061	0.00000159	0.00234481	0.00000235	0.00005290	0.00097940	0.00000016	0.00010940	0.00001590	0.00009020	0.00000014	0.00000571	0.00003140
9+:LOH:>40Mb	0.00000276	0.00071277	0.00092755	0.00000028	0.00001230	0.00003400	0.00000002	0.00011179	0.00000455	0.00000009	0.00148788	0.00001650	0.00013687	0.00000123	0.00380205	0.00333085	0.00000029	0.00000077	0.00004660	0.00001070	0.00005380	0.00010431	0.00000015	0.00000268	0.00000005
2:het:0-100kb	0.00012685	0.00107728	0.02085150	0.00018321	0.00173387	0.00356140	0.00021658	0.00103850	0.00281376	0.00213926	0.00000000	0.00068448	0.00242738	0.00144658	0.00001040	0.00266672	0.00038608	0.00029759	0.00311810	0.00053199	0.00030646	0.00313745	0.00205934	0.00028043	0.05973908
2:het:100kb-1Mb	0.00239269	0.00144857	0.01137198	0.00093060	0.00835966	0.00180746	0.00209292	0.00088920	0.05745673	0.00460283	0.00000001	0.00313133	0.00710641	0.00038720	0.00006600	0.00197375	0.00018880	0.00003020	0.03122830	0.00464189	0.01868806	0.03090670	0.02112224	0.02044170	0.31141563
2:het:1Mb-10Mb	0.01722643	0.00057147	0.02363235	0.00124271	0.04798882	0.00862875	0.00016457	0.00232904	0.15992032	0.00069290	0.00000000	0.00410482	0.06241927	0.00011283	0.00000117	0.00185384	0.00087384	0.00000011	0.01642660	0.00278654	0.12630567	0.16134631	0.12925873	0.19603389	0.05518253
2:het:10Mb-40Mb	0.11204389	0.00040127	0.02432782	0.00653021	0.04018991	0.00893152	0.00000000	0.00267494	0.12954364	0.00078362	0.00000393	0.00107820	0.06807839	0.00000103	0.00020074	0.00136271	0.00061789	0.00000034	0.00452687	0.00139670	0.20984675	0.10876801	0.26664244	0.17972657	0.02332703
2:het:>40Mb	0.64754824	0.00000162	0.02278876	0.04721082	0.00000062	0.00200753	0.00000031	0.00216140	0.00676787	0.00000006	0.00000008	0.00000043	0.06958505	0.00000246	0.00006460	0.00000075	0.00000000	0.00000032	0.00000046	0.00000815	0.07227018	0.00087765	0.01902544	0.01829589	0.01205246
3-4:het:0-100kb	0.00098644	0.00130161	0.01675940	0.02839772	0.00429509	0.00949947	0.00362014	0.01355154	0.00668678	0.00557084	0.00042229	0.00495000	0.00027983	0.00058958	0.00008100	0.00179605	0.00015917	0.00117086	0.01701046	0.00077956	0.00800623	0.00184002	0.00074580	0.00050524	0.00507212
3-4:het:100kb-1Mb	0.00362315	0.01521748	0.04264799	0.20328865	0.02738632	0.20550373	0.06003456	0.04139118	0.06747132	0.04177622	0.00000650	0.00936991	0.01942203	0.00815141	0.00000551	0.02323495	0.00188043	0.01200890	0.20570138	0.08651517	0.27819348	0.02145428	0.00157867	0.00847469	0.00739099
3-4:het:1Mb-10Mb	0.00173459	0.05815643	0.02762061	0.05567599	0.01540112	0.23333490	0.12143735	0.02619313	0.04351086	0.08695636	0.01763335	0.01812126	0.02082491	0.01439058	0.00003820	0.01723295	0.18503820	0.00000000	0.12230612	0.33498798	0.03014244	0.04488297	0.00634558	0.01576397	0.00056002
3-4:het:10Mb-40Mb	0.00300954	0.13520088	0.01850544	0.00340995	0.02038458	0.06299066	0.00493032	0.00495607	0.00753037	0.06757995	0.00761337	0.10067989	0.01275603	0.03273598	0.00189743	0.00618312	0.18827023	0.00227849	0.07593595	0.16201175	0.00614880	0.02071449	0.00077023	0.00913114	0.00006730
3-4:het:>40Mb	0.00537392	0.39028478	0.00000018	0.00472731	0.00297416	0.00240527	0.00022509	0.02416852	0.00287618	0.00000001	0.00006200	0.00090365	0.00958487	0.16670478	0.00450937	0.00048235	0.00053600	0.02652536	0.00256084	0.00119273	0.00000028	0.00051959	0.00000021	0.00186658	0.00000011
5-8:het:0-100kb	0.00074121	0.00171720	0.00551728	0.06860624	0.00336830	0.00362532	0.01467759	0.03261798	0.00171967	0.00596208	0.00002950	0.00044794	0.00098094	0.00148480	0.00286475	0.01032126	0.00049621	0.00230818	0.00185133	0.01515300	0.00031093	0.00058946	0.00003530	0.00208240	0.00030789
5-8:het:100kb-1Mb	0.00011638	0.01163041	0.03952374	0.05686576	0.00720902	0.00454924	0.16196039	0.12733737	0.00135021	0.04005666	0.04380270	0.00783497	0.00090333	0.00011311	0.00878768	0.04438502	0.01240360	0.02222437	0.02780896	0.14454268	0.00022234	0.00175159	0.00091931	0.00412892	0.00056738
5-8:het:1Mb-10Mb	0.00020400	0.01933555	0.16260339	0.01134511	0.00830954	0.00205142	0.21136197	0.06124148	0.00113611	0.01210908	0.18536884	0.00156351	0.00000058	0.00000032	0.00632529	0.08961901	0.12902796	0.14409608	0.02161426	0.10976846	0.00000972	0.00413506	0.00226165	0.00508642	0.00000790
5-8:het:10Mb-40Mb	0.00001930	0.02564167	0.12226602	0.00463152	0.00097313	0.00026427	0.00484320	0.00836120	0.00046809	0.00183866	0.05728550	0.00131279	0.00020304	0.00011361	0.02819150	0.08336645	0.05516663	0.18136026	0.00344696	0.01800115	0.00012714	0.00137484	0.00179573	0.00281772	0.00000002
5-8:het:>40Mb	0.00052566	0.04417481	0.07693656	0.00000001	0.00127684	0.00002190	0.00032996	0.00452857	0.00041355	0.00000000	0.01649539	0.00069671	0.00006820	0.00174446	0.07821007	0.25307107	0.00000001	0.09531375	0.00000023	0.00182344	0.00247148	0.00133954	0.00000018	0.00078019	0.00000009
9+:het:0-100kb	0.00010526	0.00099145	0.00254618	0.00005160	0.00302902	0.01670090	0.02554054	0.09494746	0.00168183	0.00047103	0.00000001	0.00002480	0.00089424	0.00000082	0.01505965	0.00338768	0.00005390	0.00934120	0.00503956	0.00357070	0.00005990	0.00048387	0.00001410	0.00062138	0.00193162
9+:het:100kb-1Mb	0.00031818	0.00324101	0.00174383	0.00002150	0.00738562	0.04342896	0.16018674	0.26674676	0.00425206	0.00025120	0.00000813	0.00018166	0.00050042	0.00012566	0.00017234	0.00331660	0.00007490	0.05049958	0.00484797	0.00971177	0.00011614	0.00014049	0.00000015	0.00135017	0.00202686
9+:het:1Mb-10Mb	0.00018704	0.00377986	0.00000071	0.00000026	0.00611754	0.00489714	0.14906452	0.11052885	0.00080882	0.00000001	0.05279432	0.00016027	0.00271170	0.00000095	0.00554372	0.00998959	0.00013899	0.08409049	0.01332158	0.00568101	0.00000036	0.00027061	0.00000014	0.00138559	0.00173436
9+:het:10Mb-40Mb	0.00000174	0.00190840	0.00197462	0.00000024	0.00006790	0.00003360	0.00053612	0.00180992	0.00003120	0.00012153	0.00605752	0.00013193	0.00004290	0.00000106	0.01155315	0.00316669	0.00012341	0.01848061	0.00001560	0.00085042	0.00015659	0.00024277	0.00000014	0.00013318	0.00000672
9+:het:>40Mb	0.00001180	0.00209996	0.00203108	0.00001470	0.00009300	0.00002360	0.00002250	0.00108585	0.00002930	0.00030777	0.00039210	0.00003550	0.00009770	0.00000127	0.00768259	0.00674090	0.00000001	0.00241512	0.00002720	0.00003530	0.00002310	0.00002850	0.00000014	0.00002280	0.00000005
